decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
-92.08527778,62.80833333,LD,1058959,unknown,,,3933895,urn:uuid:9aec173f-bb8c-4449-b951-c3c799daecb5
-92.08527778,62.80833333,LD,1080972,unknown,,,3939002,urn:uuid:da12eb35-8196-45e6-a33d-4f0379b2aac7
-92.08527778,62.80833333,LD,1081036,unknown,,,3939020,urn:uuid:ab365ff8-ea58-4705-92e2-aff1815af732
-92.08527778,62.80833333,LD,1082316,unknown,,,3939348,urn:uuid:24be7ccb-9d19-4331-bc3a-a2e8fc6d139a
-92.08527778,62.80833333,LD,1082380,unknown,,,3939368,urn:uuid:4ba54a56-e456-4f06-a84e-61d331e2c192
-92.08527778,62.80833333,LD,1082444,unknown,,,3939387,urn:uuid:eb6ba03f-423b-4b92-98ed-f3c31339d53f
-92.08527778,62.80833333,LD,1464994,unknown,,,3963634,urn:uuid:58e91b0a-5ec5-4471-9bc5-e44d4f4f889f
-81.9333,62.8167,CMN,CANL 10002875,unknown,,,3325331,urn:uuid:59a01d8a-2211-4aa6-8062-ebc4744a7a0b
17.97244,62.82027,LD,1005873,unknown,,,3919239,urn:uuid:738bc31f-5d6b-4861-913b-e949c3716a76
-122.875,62.8222,CMN,CANL 10002863,unknown,,427,463474,urn:uuid:a337b37c-7e8e-4995-81cf-a1dcd1bb9217
-141.517,62.8333,CMN,CANL 120802,unknown,,528,455668,urn:uuid:8d780ad8-b20c-4ee7-bf06-fef5351ed43f
-141.516667,62.833333,WIS,WIS-L-0044515,unknown,,529,1100546,urn:uuid:76b32465-90d8-4018-973c-21266c279ee1
17.8869399,62.85528213,GB,GB-0177555,unknown,500,0,3901802,urn:uuid:98c518e7-6b46-49ef-bbb7-05279cb364f6
-141.47495,62.86755,WIS,WIS-L-0011726,unknown,,549,1007319,urn:uuid:62b19b99-e26c-47bf-a61d-5f80621a79c3
-149.233333,62.874167,MONT,MONT-L-0001226,unknown,,956,1320463,urn:uuid:b523f709-1bc0-49f0-9387-5365bddd5c12
6.75274,62.87547,TRH,25716/1,unknown,20332,,3825533,urn:uuid:0d052b0c-83c2-4089-91bb-0a23be0d4735
7.1897,62.886,O,82236,ED50,2151,100,2082336,urn:uuid:b4f5eb9e-dbc7-49b2-89a6-c0ae69cffa48
7.1897,62.886,O,82237,ED50,2151,100,2082337,urn:uuid:ad0ade03-3863-4644-9b84-4feb62308d4c
27.67694444,62.8925,LD,1075569,unknown,,,3937726,urn:uuid:b9767061-27c3-4f5d-aed5-d88ba1b5464d
