decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,recordID,references
10.6926,59.9149,O,40394,ED50,250,1,cbad5590-7211-4bea-8174-0fa7b9cb1189,https://lichenportal.org/portal/collections/individual/index.php?occid=2042685
11.7116,59.2798,O,41091,ED50,707,130,1dc96d55-e12e-45f7-a6dd-c7b611281b07,https://lichenportal.org/portal/collections/individual/index.php?occid=2043345
11.6607,59.5279,O,41096,ED50,1118,140,e1acb99e-7a8f-4190-8fb7-edac2eb928df,https://lichenportal.org/portal/collections/individual/index.php?occid=2043349
4.9336,61.7706,O,44671,ED50,707,1,5097894d-ab19-48d1-862d-6fc96b7673cc,https://lichenportal.org/portal/collections/individual/index.php?occid=2046864
10.6865,59.4947,O,85238,ED50,707,1,ca99cbe4-5c24-4f2a-8344-d405ea1d4a69,https://lichenportal.org/portal/collections/individual/index.php?occid=2085187
10.738,59.8932,O,85242,ED50,71,10,57bb70ab-5e99-439f-93a9-c158890b38f1,https://lichenportal.org/portal/collections/individual/index.php?occid=2085191
10.6842,59.9074,O,85244,ED50,1741,1,6000ed64-a8b4-4911-b8c9-024c2f4fb1e2,https://lichenportal.org/portal/collections/individual/index.php?occid=2085193
10.7137,59.8908,O,85248,ED50,673,1,6e489fd8-203d-4a84-b706-9598bf018159,https://lichenportal.org/portal/collections/individual/index.php?occid=2085197
9.2482,62.003,O,85262,ED50,361,580,03e08a2f-5fd5-433f-ae94-1c0c818dde94,https://lichenportal.org/portal/collections/individual/index.php?occid=2085208
9.54,61.7669,O,85263,ED50,707,290,2b5dacb8-852d-4b3b-a388-3cae5b94db25,https://lichenportal.org/portal/collections/individual/index.php?occid=2085209
10.0909,61.352,O,85265,ED50,71,1120,a30e8773-df7d-40b8-aeb4-1a7310c23004,https://lichenportal.org/portal/collections/individual/index.php?occid=2085211
11.9244,60.524,O,85276,ED50,707,280,e094df98-5d53-4f1e-9469-9102ae8ace15,https://lichenportal.org/portal/collections/individual/index.php?occid=2085222
10.476,59.4456,O,85302,ED50,901,1,8451a969-3c68-41da-a444-19b724907d22,https://lichenportal.org/portal/collections/individual/index.php?occid=2085246
9.4064,58.8494,O,85307,ED50,808,1,d75a33fe-d18d-4ede-a4ae-5e849a44373b,https://lichenportal.org/portal/collections/individual/index.php?occid=2085251
7.5177,59.2075,O,85395,ED50,71,430,579217b3-67dd-4f80-8d47-0131ca86a55b,https://lichenportal.org/portal/collections/individual/index.php?occid=2085339
7.8527,58.6666,O,85397,ED50,71,630,8a345390-3055-49df-a764-7a315eff9866,https://lichenportal.org/portal/collections/individual/index.php?occid=2085341
7.3839,59.4062,O,85398,ED50,71,1070,b02fe34d-c641-4f28-8365-f1a5c9f79341,https://lichenportal.org/portal/collections/individual/index.php?occid=2085342
7.0301,58.287,O,85413,ED50,707,300,6b838a34-c9b3-4887-bb54-0728092e4f2d,https://lichenportal.org/portal/collections/individual/index.php?occid=2085357
6.7287,58.0664,O,85414,ED50,1118,1,4922bfca-0138-418a-8a88-c287ba54cad8,https://lichenportal.org/portal/collections/individual/index.php?occid=2085358
6.686,58.0701,O,85416,ED50,1118,1,38aacc92-ad60-480e-a473-bdc110a1658a,https://lichenportal.org/portal/collections/individual/index.php?occid=2085360
6.7879,58.0674,O,85422,ED50,707,1,0668e6fd-cb95-48f1-8729-d75eaaa71c1a,https://lichenportal.org/portal/collections/individual/index.php?occid=2085365
6.0732,58.5113,O,85424,ED50,707,,10b3c7d0-56cd-406d-ac1f-96975a904a33,https://lichenportal.org/portal/collections/individual/index.php?occid=2085367
6.2764,58.3271,O,85425,ED50,707,10,42bba42c-07f3-4bef-89d1-c50872230aa0,https://lichenportal.org/portal/collections/individual/index.php?occid=2085368
6.0971,58.431,O,85431,ED50,707,190,a0409252-a663-4d65-9bec-9bdab3006841,https://lichenportal.org/portal/collections/individual/index.php?occid=2085374
5.8455,59.37,O,85441,ED50,212,668,613c64ab-afc0-427e-9fc8-c316c382370b,https://lichenportal.org/portal/collections/individual/index.php?occid=2085384
